Unit;ADR15;ADR16;Ocurrences;Class DeF
org.apache.flink.api.common.ExecutionConfig$GlobalJobParameters;1.0;1.0;2.0;1.0
org.apache.flink.api.common.ExecutionConfig$SerializableSerializer;1.0;1.0;2.0;1.0
org.apache.flink.api.common.InvalidProgramException;1.0;1.0;2.0;1.0
org.apache.flink.api.common.JobExecutionResult;1.0;1.0;2.0;1.0
org.apache.flink.api.common.JobID;1.0;1.0;2.0;1.0
org.apache.flink.api.common.JobSubmissionResult;1.0;1.0;2.0;1.0
org.apache.flink.api.common.NonSerializableUserCodeException;1.0;1.0;2.0;1.0
org.apache.flink.api.common.Plan;1.0;0.0;1.0;0.5
org.apache.flink.api.common.Plan$MaxDopVisitor;1.0;1.0;2.0;1.0
org.apache.flink.api.common.PlanExecutor;1.0;0.0;1.0;0.5
org.apache.flink.api.common.TaskInfo;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.AccumulatorHelper;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.AverageAccumulator;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.DoubleCounter;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.DoubleMaximum;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.DoubleMinimum;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.Histogram;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.IntCounter;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.IntMaximum;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.IntMinimum;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.ListAccumulator;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.LongCounter;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.LongMaximum;1.0;1.0;2.0;1.0
org.apache.flink.api.common.accumulators.LongMinimum;1.0;1.0;2.0;1.0
